unsure_mode	pass_frac	qa_type	n	acc_gem	acc_gpt	diff	b	c	mcnemar_p	cluster_diff_mean	cluster95_lo	cluster95_hi	leader_matches_pf75
half	0.6	1	335	0.6059701492537314	0.5701492537313433	0.035820895522388096	63	51	0.30287755263032495	0.03605029440405381	-0.028818443804034536	0.09999999999999998	True
half	0.6	2	427	0.5878220140515222	0.5456674473067916	0.042154566744730615	79	61	0.1505276971716133	0.04210235304751614	-0.012020682367149715	0.09813190799300125	True
half	0.6	3	445	0.4247191011235955	0.5303370786516854	-0.10561797752808993	58	105	0.0002881495418529562	-0.10536849820739035	-0.16630681059374527	-0.04661862527716186	True
half	0.65	1	311	0.617363344051447	0.5819935691318328	0.03536977491961424	58	47	0.3291371261661389	0.03599951463729919	-0.0298013245033113	0.10140209790209781	True
half	0.65	2	420	0.5952380952380952	0.55	0.04523809523809519	78	59	0.12377482507747656	0.04526984575193087	-0.008969113719957594	0.09903438610883236	True
half	0.65	3	435	0.42528735632183906	0.5287356321839081	-0.103448275862069	57	102	0.00044734751745370376	-0.10373267605878732	-0.16556924922286795	-0.04285714285714287	True
half	0.7	1	311	0.617363344051447	0.5819935691318328	0.03536977491961424	58	47	0.3291371261661389	0.03556922448358202	-0.030303030303030276	0.10231023102310222	True
half	0.7	2	363	0.5922865013774105	0.5316804407713499	0.06060606060606055	72	50	0.05682268892317514	0.06060081482072936	0.002680965147453085	0.11834319526627213	True
half	0.7	3	367	0.44959128065395093	0.555858310626703	-0.10626702997275206	49	88	0.0010910236162357514	-0.10592889897402222	-0.17277486910994766	-0.04098240820630813	True
half	0.75	1	306	0.6209150326797386	0.5849673202614379	0.03594771241830064	57	46	0.32447878028806587	0.03669653340300974	-0.03030303030303028	0.10473053410553414	True
half	0.75	2	363	0.5922865013774105	0.5316804407713499	0.06060606060606055	72	50	0.05682268892317514	0.06086969340602841	0.002666666666666706	0.12010462097232963	True
half	0.75	3	332	0.45481927710843373	0.5542168674698795	-0.0993975903614458	45	78	0.0037314457550981723	-0.09938325667510442	-0.16562547929447854	-0.034375000000000044	True
half	0.8	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.0757437976238647	0.0	0.14912776851631335	True
half	0.8	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.07214982642527197	0.0036900369003690647	0.1418296378418328	True
half	0.8	3	271	0.47601476014760147	0.5719557195571956	-0.09594095940959413	36	62	0.011174544214771171	-0.09558137682668823	-0.16785779457768504	-0.02611697553126566	True
half	0.85	1	225	0.64	0.5644444444444444	0.0755555555555556	45	28	0.060370037339928545	0.07538324587193718	0.0	0.14865336266499055	True
half	0.85	2	265	0.6226415094339622	0.5509433962264151	0.07169811320754715	53	34	0.05300311301096222	0.07201100876500979	0.0037037037037037646	0.14233609112398374	True
half	0.85	3	241	0.4854771784232365	0.5684647302904564	-0.0829875518672199	34	54	0.04221061162240416	-0.08329786927415658	-0.16141732283464566	-0.004366812227074246	True
half	0.9	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09492984095740858	-0.02380952380952373	0.21250000000000002	True
half	0.9	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0018220100599713209	-0.14285714285714285	0.15384615384615385	False
half	0.9	3	104	0.4423076923076923	0.5384615384615384	-0.09615384615384615	15	25	0.1538599441628321	-0.09594566757162998	-0.21052631578947367	0.019047619047619035	True
half	0.95	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09580499926739999	-0.02352941176470591	0.21250000000000002	True
half	0.95	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	0.0007419178900039313	-0.1428571428571429	0.1499999999999999	False
half	0.95	3	58	0.39655172413793105	0.5344827586206896	-0.13793103448275856	6	14	0.11531829833984375	-0.13843982934686805	-0.2727272727272727	0.0	True
half	1.0	1	84	0.6428571428571429	0.5476190476190477	0.09523809523809523	17	9	0.16863754391670227	0.09589389690570797	-0.023255813953488302	0.21176470588235297	True
half	1.0	2	63	0.5555555555555556	0.5555555555555556	0.0	11	11	1.0	-0.00042244492676121455	-0.14516129032258063	0.14754098360655743	False
half	1.0	3	58	0.39655172413793105	0.5344827586206896	-0.13793103448275856	6	14	0.11531829833984375	-0.13841382769131852	-0.2727272727272727	0.0	True
