unsure_mode	pass_frac	qa_type	model	n	accuracy
half	0.7	1	gemini31pro	311	0.617363344051447
half	0.7	1	gemini31flashlite	311	0.4437299035369775
half	0.7	1	gpt54mini	311	0.6205787781350482
half	0.7	2	gpt55	363	0.5316804407713499
half	0.7	2	gemini31pro	363	0.5922865013774105
half	0.7	2	gemini31flashlite	363	0.41046831955922863
half	0.7	2	gpt54mini	363	0.6198347107438017
half	0.7	3	gpt55	367	0.555858310626703
half	0.7	3	gemini31pro	367	0.44959128065395093
half	0.7	3	gemini31flashlite	367	0.22615803814713897
half	0.7	3	gpt54mini	367	0.4659400544959128
half	0.75	1	gpt55	306	0.5849673202614379
half	0.75	1	gemini31pro	306	0.6209150326797386
half	0.75	1	gemini31flashlite	306	0.4477124183006536
half	0.75	1	gpt54mini	306	0.6176470588235294
half	0.75	2	gpt55	363	0.5316804407713499
half	0.75	2	gemini31pro	363	0.5922865013774105
half	0.75	2	gemini31flashlite	363	0.41046831955922863
half	0.75	2	gpt54mini	363	0.6198347107438017
half	0.75	3	gpt55	332	0.5542168674698795
half	0.75	3	gemini31pro	332	0.45481927710843373
half	0.75	3	gemini31flashlite	332	0.21686746987951808
half	0.75	3	gpt54mini	332	0.4608433734939759
half	0.8	1	gpt55	225	0.5644444444444444
half	0.8	1	gemini31pro	225	0.64
half	0.8	1	gemini31flashlite	225	0.44
half	0.8	1	gpt54mini	225	0.6266666666666667
half	0.8	2	gpt55	265	0.5509433962264151
half	0.8	2	gemini31pro	265	0.6226415094339622
half	0.8	2	gemini31flashlite	265	0.4188679245283019
half	0.8	2	gpt54mini	265	0.6339622641509434
half	0.8	3	gpt55	271	0.5719557195571956
half	0.8	3	gemini31pro	271	0.47601476014760147
half	0.8	3	gemini31flashlite	271	0.22509225092250923
half	0.8	3	gpt54mini	271	0.4870848708487085
half	0.85	1	gpt55	225	0.5644444444444444
half	0.85	1	gemini31pro	225	0.64
half	0.85	1	gemini31flashlite	225	0.44
half	0.85	1	gpt54mini	225	0.6266666666666667
half	0.85	2	gpt55	265	0.5509433962264151
half	0.85	2	gemini31pro	265	0.6226415094339622
half	0.85	2	gemini31flashlite	265	0.4188679245283019
half	0.85	2	gpt54mini	265	0.6339622641509434
half	0.85	3	gpt55	241	0.5684647302904564
half	0.85	3	gemini31pro	241	0.4854771784232365
half	0.85	3	gemini31flashlite	241	0.22821576763485477
half	0.85	3	gpt54mini	241	0.4854771784232365
half	0.9	1	gpt55	84	0.5476190476190477
half	0.9	1	gemini31pro	84	0.6428571428571429
half	0.9	1	gemini31flashlite	84	0.4523809523809524
half	0.9	1	gpt54mini	84	0.6190476190476191
half	0.9	2	gpt55	63	0.5555555555555556
half	0.9	2	gemini31pro	63	0.5555555555555556
half	0.9	2	gemini31flashlite	63	0.4126984126984127
half	0.9	2	gpt54mini	63	0.5873015873015873
half	0.9	3	gpt55	104	0.5384615384615384
half	0.9	3	gemini31pro	104	0.4423076923076923
half	0.9	3	gemini31flashlite	104	0.22115384615384615
half	0.9	3	gpt54mini	104	0.5192307692307693
half	0.95	1	gpt55	84	0.5476190476190477
half	0.95	1	gemini31pro	84	0.6428571428571429
half	0.95	1	gemini31flashlite	84	0.4523809523809524
half	0.95	1	gpt54mini	84	0.6190476190476191
half	0.95	2	gpt55	63	0.5555555555555556
half	0.95	2	gemini31pro	63	0.5555555555555556
half	0.95	2	gemini31flashlite	63	0.4126984126984127
half	0.95	2	gpt54mini	63	0.5873015873015873
half	0.95	3	gpt55	58	0.5344827586206896
half	0.95	3	gemini31pro	58	0.39655172413793105
half	0.95	3	gemini31flashlite	58	0.1724137931034483
half	0.95	3	gpt54mini	58	0.46551724137931033
half	1.0	1	gpt55	84	0.5476190476190477
half	1.0	1	gemini31pro	84	0.6428571428571429
half	1.0	1	gemini31flashlite	84	0.4523809523809524
half	1.0	1	gpt54mini	84	0.6190476190476191
half	1.0	2	gpt55	63	0.5555555555555556
half	1.0	2	gemini31pro	63	0.5555555555555556
half	1.0	2	gemini31flashlite	63	0.4126984126984127
half	1.0	2	gpt54mini	63	0.5873015873015873
half	1.0	3	gpt55	58	0.5344827586206896
half	1.0	3	gemini31pro	58	0.39655172413793105
half	1.0	3	gemini31flashlite	58	0.1724137931034483
half	1.0	3	gpt54mini	58	0.46551724137931033
